"Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Kelem Wellega","3164","Gidami","18867","Alchaya Jilo","52316","34.646900000000002","8.9694594999999993","3","","","2009",null,null,"99.0","5.0","5.0505051000000002E-2",null,null,"99.0","38","0.38383838399999998",null,null,"99.0","7.0","7.0707070999999996E-2",null,null,null,null,"0.0","0.43049461100000003","1","0","5156","","AETH0194818867"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1948","E. Harerge",null,"E. Harerge","3143","Alem Maya",null,"41.917999999999999","9.4570000000000007","4","","","1986","5","19","99.0","4.0","4.0404040000000002E-2",null,null,"99.0","19","0.19191919199999999",null,null,"99.0","14.0","0.14141414099999999",null,null,"0","0","0.0","0.31530739800000002","3","0","29123","ETH0065","AETH0194803143"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Aligie",null,null,null,"99","","","1995","0","99","82.0","33.0","0.40243902399999998",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.40243902399999998","3","0","28801","ETH0079","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","S. Gonder","3178","West Esite","18537","Amanuel","52168","37.561445399999997","10.439304699999999","1","","","0",null,null,"70.0","11.0","0.157142857",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,null,null,"0.0","0.157142857","3","2","4960","","AETH0194318537"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Amanuel",null,"37.948002000000002","11.250999999999999","3","","",null,"10","18","70.0","11.0","0.157142857",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.157142857","3","2","31515","ETH0052","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Ambo Meda",null,null,null,"99","","","1995","7","19","90.0","12.0","0.133333333",null,null,"90.0","34","0.37777777800000001",null,null,"90.0","6.0","6.6666666999999999E-2",null,null,"0","0","0.0","0.46857675300000001","3","0","31532","ETH0059","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Amed Ber",null,"38.398997999999999","11.384","3","","","1995","7","19","95.0","31.0","0.32631578900000002",null,null,"95.0","14","0.147368421",null,null,"95.0","17.0","0.178947368",null,null,"0","0","0.0","0.498475216","3","2","31529","ETH0059","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Amora Gedel",null,"37.797001000000002","11.984","3","","","1995","7","19","85.0","21.0","0.24705882400000001",null,null,"85.0","47","0.55294117600000003",null,null,"85.0","17.0","0.20000000000000001",null,null,"0","0","0.0","0.68935170099999998","3","2","31541","ETH0059","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","S. Gonder","3178","Fogera","18596","Amora Gedel","52304","39.480100700000001","12.150972100000001","1","","","1995",null,null,"85.0","21.0","0.24705882400000001",null,null,"85.0","47","0.55294117600000003",null,null,"85.0","17.0","0.20000000000000001",null,null,null,null,"0.0","0.68935170099999998","3","2","5013","","AETH0194318596"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Illu Aba Bora","3155","Darimu","18815","Anayifa","52233","35.396301000000001","8.6219397000000004","3","","","2009",null,null,"103.0","67.0","0.65048543700000006",null,null,"103.0","22","0.21359223299999999",null,null,"103.0","4.0","3.8834950999999999E-2",null,null,null,null,"0.0","0.69416343899999999","1","0","5130","","AETH0194818815"
