"X","Y","altitude","fric_w","fric_m","travel_w","travel_m","riv_dist","HK.prev.mean","HK.antiprev.mean","Asc.prev.mean","Asc.antiprev.mean","TT.prev.mean","TT.antiprev.mean","any.sth.prev.mean","any.sth.exceed50","any.sth.exceed20","any.sth.between.20_50","any.sth.below20"
62829.8344020236,713896.689380724,1038.19244822674,0.0148543459752221,0.00651554929455324,207.262331223026,95.4993939935572,5.89931462795909,0.0427235351781598,0.95727646482184,0.0515020904685749,0.948497909531425,0.0279508713053797,0.97204912869462,0.117403958980189,0.012,0.151,0.139,0.849
72829.8344020236,713896.689380724,925.8996136228,0.0223389168016854,0.0223389168016854,256.870138077819,102.565273674905,8.7455719902672,0.0520534189989314,0.947946581001069,0.0399437666950011,0.960056233304999,0.0329935222200266,0.967006477779973,0.119944787548351,0.012,0.147,0.135,0.853
82829.8344020236,713896.689380724,803.351773990583,0.0342807530896819,0.0196537356228129,137.278170633467,48.1547663685711,0.631574011311034,0.0569122367698775,0.943087763230122,0.0603148733248972,0.939685126675103,0.0217350445003306,0.978264955499669,0.133056172684221,0.01,0.202,0.192,0.798
92829.8344020236,713896.689380724,830.645762889206,0.0203239644762392,0.0203239644762392,191.828233212669,183.934618471186,5.13618089751899,0.0516100978331025,0.948389902166898,0.0440157246283383,0.955984275371662,0.0275141073218318,0.972485892678168,0.118299717370039,0.004,0.16,0.156,0.84
102829.834402024,713896.689380724,818.799721267947,0.0141852957928636,0.00632812300922509,185.441390095831,21.9609674365195,4.77660352590037,0.0424800398599871,0.957519960140013,0.046880631105419,0.953119368894581,0.0290843644844326,0.970915635515567,0.113912467299269,0.013,0.155,0.142,0.845
112829.834402024,713896.689380724,819.90692718092,0.0168755305873085,0.0168755305873085,167.9572852414,137.640021606102,1.25452871309953,0.0527537959600065,0.947246204039993,0.0496769142260004,0.950323085774,0.0223706167311261,0.977629383268874,0.119947868423776,0.018,0.186,0.168,0.814
122829.834402024,713896.689380724,1138.65618615699,0.031570796249681,0.031570796249681,157.698906075755,158.174782444077,2.92445105699195,0.086021551883092,0.913978448116908,0.0660055109562113,0.933994489043789,0.0238594518165756,0.976140548183424,0.166716807287569,0.04,0.25,0.21,0.75
132829.834402024,713896.689380724,711.316268856721,0.0192556439320099,0.0192556439320099,250.303765258096,250.603689240057,7.08543570443043,0.0705024066580669,0.929497593341933,0.0360301995959096,0.96396980040409,0.0335590016668853,0.966440998333115,0.13406151133185,0.035,0.217,0.182,0.783
142829.834402024,713896.689380724,574.761769846135,0.0204056450282384,0.0204056450282384,400.727254182196,230.099349321383,5.73594590373165,0.0869666269922245,0.913033373007775,0.0203377756169145,0.979662224383085,0.0246528727988725,0.975347127201127,0.127586809600881,0.042,0.187,0.145,0.813
152829.834402024,713896.689380724,523.841360266831,0.0211213066964352,0.0211213066964352,569.296031515152,232.220811221159,0.918321302911646,0.0873960943673557,0.912603905632644,0.0116124440602936,0.988387555939706,0.0165051606297424,0.983494839370258,0.112881415764669,0.026,0.147,0.121,0.853
162829.834402024,713896.689380724,489.679075503254,0.0201692057529411,0.0201692057529411,432.653405662159,165.798863012814,5.3626362798431,0.0977259436309865,0.902274056369013,0.0173189136849601,0.98268108631504,0.0252326535460002,0.974767346454,0.135724823099879,0.043,0.214,0.171,0.786
172829.834402024,713896.689380724,435.515208111277,0.0209083291957825,0.0209083291957825,233.08968475417,107.3631780363,1.34766378808169,0.0997089493768941,0.900291050623106,0.0340108206018484,0.965989179398152,0.0224009865512251,0.977599013448775,0.149810084420409,0.043,0.248,0.205,0.752
182829.834402024,713896.689380724,386.340176464365,0.013615512409623,0.00465851902465062,54.2073449655897,16.0090180028153,1.57598030670428,0.0903183600228378,0.909681639977162,0.0579739142260347,0.942026085773965,0.0246407454098845,0.975359254590116,0.164171900251021,0.043,0.303,0.26,0.697
192829.834402024,713896.689380724,367.40751322826,0.012493624026107,0.00366534541416767,46.4164905493136,13.2011915070727,2.55076315384339,0.0931181153868619,0.906881884613138,0.0548990541795224,0.945100945820478,0.0286883564492089,0.971311643550791,0.167493717878248,0.056,0.315,0.259,0.685
202829.834402024,713896.689380724,412.585214638433,0.0210404023741194,0.0210404023741194,206.50887742113,65.8359048196677,2.85912522619072,0.127690740545585,0.872309259454415,0.0371890046292006,0.962810995370799,0.0264110488054488,0.973588951194551,0.182312873366195,0.074,0.301,0.227,0.699
212829.834402024,713896.689380724,423.579359840526,0.0211481089332521,0.0211481089332521,353.29710474067,49.8849067578146,3.37857000941671,0.125340701101315,0.874659298898685,0.0225417318248253,0.977458268175175,0.023447098380217,0.976552901619783,0.165102968230888,0.072,0.277,0.205,0.723
222829.834402024,713896.689380724,403.749862821515,0.0180252194131361,0.0180252194131361,514.315579974837,159.540544453063,0.239974818484439,0.105984631099465,0.894015368900535,0.0131644972734669,0.986835502726533,0.0156831248584978,0.984316875141502,0.131590269822338,0.061,0.219,0.158,0.781
232829.834402024,713896.689380724,412.839711303205,0.0149513706120267,0.0149513706120267,672.182877912599,151.229295238348,0.478313898990351,0.112551460636855,0.887448539363145,0.00758621856113129,0.992413781438869,0.0151641361530874,0.984835863846913,0.132639138992539,0.044,0.2,0.156,0.8
242829.834402024,713896.689380724,406.448958214068,0.0180898254230833,0.0180898254230833,806.972139708827,220.628179102615,0.580054636781256,0.130029942767465,0.869970057232535,0.00467542144793152,0.995324578552068,0.0130655651050049,0.986934434894995,0.14541092597311,0.06,0.219,0.159,0.781
252829.834402024,713896.689380724,410.261120108718,0.0150133409208397,0.0150133409208397,937.372830155376,293.112483771009,2.10092960594462,0.126333741971765,0.873666258028235,0.00288406812249663,0.997115931877503,0.0130436274482588,0.986956372551741,0.140216365962373,0.051,0.202,0.151,0.798
262829.834402024,713896.689380724,435.297121975778,0.0152239861613499,0.0152239861613499,1076.49390345245,359.329346692244,4.40895737364945,0.129843654246952,0.870156345753048,0.00160294081072968,0.99839705918927,0.0138009380363251,0.986199061963675,0.143228187500714,0.044,0.215,0.171,0.785
272829.834402024,713896.689380724,448.424239251408,0.0151971609981459,0.0151971609981459,919.281868441617,423.568478766182,0.71576671299576,0.11887035336101,0.88112964663899,0.00339283328323768,0.996607166716762,0.0119735671588165,0.988026432841183,0.132374349062393,0.053,0.209,0.156,0.791
282829.834402024,713896.689380724,422.001794639882,0.0149959134158753,0.0149959134158753,765.819896240116,461.128062822439,3.89307035426649,0.129566748033629,0.870433251966371,0.00519298063444755,0.994807019365552,0.0167642397783659,0.983235760221634,0.148603266040259,0.057,0.222,0.165,0.778
292829.834402024,713896.689380724,413.731851957966,0.0152910833214446,0.0152910833214446,613.28004097379,350.273238253997,2.54163018732363,0.127575190718655,0.872424809281345,0.00877693673261456,0.991223063267385,0.0188995375610104,0.98110046243899,0.151576115658837,0.055,0.216,0.161,0.784
302829.834402024,713896.689380724,406.894830528247,0.0150499066026997,0.0150499066026997,476.656528565051,260.987032141765,0.494357103135688,0.115212144523467,0.884787855476533,0.0147998666834237,0.985200133316576,0.0173473627562936,0.982652637243706,0.143428463473996,0.065,0.245,0.18,0.755
312829.834402024,713896.689380724,435.251899670402,0.0153962629480583,0.0153962629480583,325.080180004593,133.455029582719,1.16906174868052,0.136753123806493,0.863246876193507,0.0258326836986539,0.974167316301346,0.0208349390133625,0.979165060986637,0.17657418453566,0.067,0.255,0.188,0.745
322829.834402024,713896.689380724,404.964629433949,0.0206560225355207,0.0206560225355207,184.853122342328,35.7534879758068,6.68069885328104,0.163940392482681,0.836059607517319,0.0368399015870454,0.963160098412955,0.0335230856779859,0.966476914322014,0.221735521104511,0.095,0.386,0.291,0.614
332829.834402024,713896.689380724,411.340264509611,0.0120236494030343,0.00124672310514688,97.7050435052085,9.15383530749395,1.90526596582595,0.124482646788645,0.875517353211355,0.0485403221801906,0.951459677819809,0.0242990256630676,0.975700974336932,0.187222102395383,0.063,0.326,0.263,0.674
342829.834402024,713896.689380724,434.919135947087,0.0124472896091143,0.00360873185518928,160.323759829664,18.0349077416626,4.93652180348668,0.14115252383863,0.85884747616137,0.0413184816937864,0.958681518306214,0.0284179587859513,0.971582041214049,0.200037042277045,0.087,0.356,0.269,0.644
352829.834402024,713896.689380724,434.47726432061,0.0151670311410397,0.0151670311410397,309.912056290987,117.353908243099,3.36271704591359,0.139795941942212,0.860204058057788,0.0259992858970204,0.97400071410298,0.0239617627653329,0.976038237234667,0.182236741320693,0.076,0.309,0.233,0.691
362829.834402024,713896.689380724,458.286260969205,0.0155227231237916,0.0155227231237916,448.175057395357,151.344169422257,0.50691063091007,0.127470881463122,0.872529118536878,0.0174471179191236,0.982552882080876,0.0175975110977198,0.98240248890228,0.15778045173332,0.074,0.265,0.191,0.735
372829.834402024,713896.689380724,510.362919475145,0.0154372195694406,0.0154372195694406,556.964832841641,203.300022083782,1.20465094303045,0.131682570715716,0.868317429284284,0.0111276739963821,0.988872326003618,0.015516269156882,0.984483730843118,0.154668047266397,0.056,0.22,0.164,0.78
382829.834402024,713896.689380724,528.528085442421,0.0151363489031436,0.0151363489031436,444.941143128845,245.671204380249,4.94367861019503,0.135271581438586,0.864728418561414,0.0178728571007217,0.982127142899278,0.024252256064959,0.975747743935041,0.171323541249399,0.065,0.278,0.213,0.722
392829.834402024,713896.689380724,545.841078765161,0.0150837583069783,0.0150837583069783,369.337593441088,259.473136799022,12.1592135058005,0.156609364703278,0.843390635296722,0.021909008340352,0.978090991659648,0.0382506538746857,0.961749346125314,0.206640670499149,0.1,0.381,0.281,0.619
402829.834402024,713896.689380724,610.276081617907,0.0155660640391878,0.0155660640391878,337.043841257616,168.037727543348,6.32792003084406,0.156644260031922,0.843355739968078,0.0268467220753902,0.97315327792461,0.0275907342922265,0.972409265707774,0.201929710211166,0.078,0.324,0.246,0.676
412829.834402024,713896.689380724,530.899644518312,0.0155851464345384,0.0155851464345384,355.636143179344,79.4560462590248,0.445041703480725,0.127805449390422,0.872194550609578,0.0229272202777188,0.977072779722281,0.0178507041708952,0.982149295829105,0.163014772409294,0.068,0.27,0.202,0.73
422829.834402024,713896.689380724,477.269403444633,0.0131993946306937,0.00645566050056122,424.234642833078,46.8113210137427,2.27300583266488,0.128968120508623,0.871031879491377,0.0175137522393196,0.98248624776068,0.0191380019694634,0.980861998030537,0.160601015944601,0.057,0.26,0.203,0.74
432829.834402024,713896.689380724,454.122394166338,0.0229287549309186,0.0132019916790511,441.212388061703,83.7669519383811,1.38979883127831,0.158767356768725,0.841232643231275,0.0170998444787065,0.982900155521294,0.0184777321262451,0.981522267873755,0.188430574371725,0.089,0.285,0.196,0.715
442829.834402024,713896.689380724,526.07101209083,0.0153643066252759,0.0153643066252759,486.72448052124,211.55054856616,1.50982056502879,0.133052694794596,0.866947305205404,0.0154407683177169,0.984559231682283,0.0169723918506524,0.983027608149348,0.160925998575404,0.064,0.265,0.201,0.735
452829.834402024,713896.689380724,544.025170779817,0.0153240946764336,0.0153240946764336,549.351492581618,110.748417414914,1.79216670713216,0.132842069697514,0.867157930302486,0.0120681036678887,0.987931896332111,0.0172835819449272,0.982716418055073,0.158113744792439,0.054,0.256,0.202,0.744
462829.834402024,713896.689380724,547.550906605137,0.015416453906452,0.015416453906452,564.83845714185,55.9462225723733,9.20275684799594,0.155873707504775,0.844126292495225,0.0112682084240034,0.988731791575997,0.0287251941271614,0.971274805872839,0.189359962081586,0.081,0.293,0.212,0.707
472829.834402024,713896.689380724,573.386865534502,0.0152686331773248,0.0152686331773248,572.795115729657,112.712906657924,16.2626612707238,0.179878428916041,0.820121571083959,0.00981028784797727,0.990189712152023,0.0434198525122206,0.956580147487779,0.223184275246497,0.113,0.365,0.252,0.635
482829.834402024,713896.689380724,581.083442018246,0.0152060247216724,0.0152060247216724,604.300064422313,141.050843670455,17.7131409044545,0.186411037435175,0.813588962564825,0.00839974191560529,0.991600258084395,0.0450405587076062,0.954959441292394,0.229581671823709,0.116,0.4,0.284,0.6
492829.834402024,713896.689380724,581.491992542857,0.0150665693514136,0.0150665693514136,615.552895159521,116.791522003241,23.3709647609348,0.19184378840157,0.80815621159843,0.00792742492247181,0.992072575077528,0.0704998255460365,0.929500174453963,0.254773594006575,0.178,0.469,0.291,0.531
502829.834402024,713896.689380724,572.182823773588,0.0144772210244774,0.0119789944489479,653.202857224328,70.5382072005027,31.2833602257278,0.221648707255608,0.778351292744392,0.00675664478908778,0.993243355210912,0.101986119308891,0.898013880691109,0.30575242885999,0.183,0.529,0.346,0.471
512829.834402024,713896.689380724,546.135598972215,0.0151792450359512,0.0151792450359512,777.101538499089,120.306985827846,38.8667946424235,0.261567760243629,0.738432239756371,0.00363843197224395,0.996361568027756,0.147413252709749,0.852586747290251,0.372713133667454,0.268,0.577,0.309,0.423
