"ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","Longitude","Latitude","Georeliability","Year","HK_examined","HK_positive","Asc_examined","Asc_positive","TT_examined","TT_positive","altitude","riv_dist","fric_w","fric_m","travel_w","travel_m","HK_e.logit","Asc_e.logit","TT_e.logit","utm_x","utm_y"
"Oromiya",1948,"Kelem Wellega",3164,"Jimma Horo",18921,"Jimma Tibe",34.7948,8.9661303,3,2009,110,7,110,18,110,10,1713.62623574469,5.90443594560102,0.0188367418930727,0.0184646741960608,60.0985086036661,15.4924354513696,-2.62466859216316,-1.6094379124341,-2.25878247033565,-627521.591839587,1006882.539279
"Oromiya",1948,"Jimma",3159,"Kersa (Jimma)",18928,"Jimma Town",36.8357927,7.6738908,1,2013,622,34,622,126,622,242,1722.5623712737,5.3671971396266,0.0120000001043081,0.000983789563187171,19.4636214554295,1.60644693408984,-2.83661760266302,-1.36734117531765,-0.450484466924203,-403361.824690726,856884.761276
"Oromiya",1948,"Jimma",3159,"Kersa (Jimma)",18928,"Jimma Town",36.8357927,7.6738908,1,2013,133.8,76,134.4,25,134.1,33,1722.5623712737,5.3671971396266,0.0120000001043081,0.000983789563187171,19.4636214554295,1.60644693408984,0.271688647476043,-1.4608924092452,-1.10949809631336,-403361.824690726,856884.761276
"Oromiya",1948,"E. Harerge",3143,"Goro Gutu",18881,"Jiru Ifa",41.2528,9.4227695,3,2009,78,1,78,1,78,0,1720.1911038072,4.09822488924018,0.0313259215397994,0.0313259215397994,67.0521743099381,20.1190876288984,-3.94481282825114,-3.94481282825114,-5.05624580534831,88339.956387147,1043799.17889362
"Oromiya",1948,"West Wellega",3194,"Gimbi",18853,"Jogir",36.021,9.03269,3,2009,111,15,111,12,111,1,1280.37209107905,3.10806182440601,0.012011230473746,0.000775106088855838,14.8223701708361,9.69816512470462,-1.82870298441974,-2.07442899985629,-4.29955041284964,-490716.937529295,1010729.27344559
"Oromiya",1948,"West Wellega",3194,"Guliso",18857,"Kata Aba Korma",35.417301,9.1255102,3,2009,103,32,103,7,103,2,1547.07739176712,6.3448011579742,0.0121390429666257,0.00158622121265223,36.4917645509939,3.52445695971181,-0.78845736036427,-2.55463998780268,-3.70376806660769,-557630.675096382,1022854.18988804
"Amhara",1943,"S. Wello",3180,"Kelela",18619,"Kemissie",39.8733409,10.7242788,1,2010,0,0,345,50,345,13,1469.59892942589,6.13306894677605,0.0120000001043081,0.00107142853084952,30.0883604122273,2.24146753010031,0,-1.76669550056484,-3.20395017465153,-61272.1245676471,1190175.02024107
"Oromiya",1948,"W. Harerge",3189,"Doba",18839,"Kencha Wadesa",41.004902,9.1872702,3,2009,95,4,95,1,95,0,1859.07818658656,10.271408983799,0.01672891064849,0.00821593943643766,52.1093591377757,15.7853095704676,-3.0122615755052,-4.14313472639153,-5.25227342804663,60770.8512997831,1018004.25921324
"Oromiya",1948,"Jimma",3159,"Mena (Jimma)",18953,"Kentery",36.797298,7.8636298,3,2009,83,18,83,19,83,12,1718.42168344321,1.78617623600615,0.0174615285375758,0.00823450858185643,18.0917773729561,4.3442462437121,-1.26427941055693,-1.19625075823203,-1.74396880539171,-407236.717469348,878153.013981589
"Oromiya",1948,"West Arsi",3689,"Shala",19002,"Keransa Kubi",38.4823,7.33038,3,2009,103,30,103,16,103,23,1675.95626436425,7.3883063922089,0.0121974744851555,0.00154376142451282,102.371473038984,10.2079698786576,-0.879558722605425,-1.66827841245703,-1.2312567632744,-220884.194778878,815520.05757942
